"county","state","bidDate","projectName","projectLink","bidID","estimate","type","owner","location","scope","preBidDate","preBidTime","preBidLocation","bidTime","bidLocation","contactName","contactPhone","contactEmail"
"2/13/2025","State: TX","Bid No: CSP-1209","City of Baytown East District Wastewater Treatment Plant Project Phase 2","https://www.civcastusa.com/project/676edca15083780e1de7188c/summary","Bid No: CSP-1209","N/A","N/A","N/A","Harris County, TX","The project consists of furnishing all labor, materials, equipment and incidentals required to demolish the existing Lift Station #1, List Station #2, splitter box, grit pumps, Clarifier No. 1 WAS pumps, belt press building, sludge transfer pump station, and chemical facility, and replace with new belt press facility, chemical feed and storage facility, grit pumps and panels, influent lift station, sludge transfer pumps, WAS pumps, electrical equipment, effluent pipe outfall, miscellaneous structural improvements, and plant security components at the City of Baytown East District Wastewater Treatment Plant (ED WWTP) and all other necessary appurtenances for a fully functioning facility as described in the contract drawings and specifications.

 

For the parties that are interested in submitting a formal bid, you will need to go to the QuestCDN.com website and submit there.  The Quest Number for this project is 9474811.","Bid No: CSP-1209","N/A","N/A","N/A","N/A","Bid No: CSP-1209","N/A","N/A"
"2/12/2025","State: TX","RFB 6113 Rebid","RFB 6113 Wastewater Maintenance Building City Project No. 22129 Rebid","https://www.civcastusa.com/project/674f1682053a742d1ad87e0f/summary","RFB 6113 Rebid","N/A","N/A","N/A","Nueces County, TX","A site visit will be available is schedule for January 15, 2024 at 2:00 PM CT.

 

The project consists of the construction of a new 16,178 s.f. office warehouse facility and a truck wash on a 3-acre site on Greenwood Drive, Corpus Christi, Texas.","RFB 6113 Rebid","N/A","N/A","N/A","N/A","RFB 6113 Rebid","N/A","N/A"
"2/11/2025","State: TX","70066-50-19 (L)","HCMUD No. 43 Wastewater Treatment Plant Operators Building","https://www.civcastusa.com/project/677d7e02beade9de7791c86e/summary","70066-50-19 (L)","N/A","N/A","N/A","Harris County, TX","Project scope shall include the construction of an entrance driveway and civil site work for proposed Wastewater Treatment Plant Operators Building.","70066-50-19 (L)","N/A","N/A","N/A","N/A","70066-50-19 (L)","N/A","N/A"
"2/10/2025","State: TX","22421LP","Nicholson Ranch - Wastewater Treatment Facility","https://www.civcastusa.com/project/6787fd1a760c77eb97d34daa/summary","22421LP","N/A","N/A","N/A","Collin County, TX","The scope of this bid consists of the lease/purchase and installation of the wastewater treatment plant equipment (as defined in the specifications) ONLY.

 

THIS BID DOES NOT INCLUDE CONSTRUCTION ACTIVITIES.



A MANDATORY pre-mid meeting will be held at 10:30 a.m. on Tuesday, February 4, 2025.  Please follow the link below for access, or use the provided Meeting ID and Passcode.

Please click this link.

Meeting ID: 254 600 524 529
Passcode: 5WS2Xw7H","22421LP","N/A","N/A","N/A","N/A","22421LP","N/A","N/A"
"2/06/2025","State: TX","01202025-004","REQUEST FOR PROPOSAL (RFP) Inspection Services for FM2720 Wastewater and Water Main Project","https://www.civcastusa.com/project/679016dcd46330d3174a4cd7/summary","01202025-004","N/A","N/A","N/A","Caldwell County, TX","Please visit our website: https://clsud.com/final-inspection-services-fm2720-wastewater-and-water-main-project/","01202025-004","N/A","N/A","N/A","N/A","01202025-004","N/A","N/A"
"2/06/2025","State: TX","211-006-00 DST (J)/DEV (L)","MCMUD No. 98 Water, Wastewater, Storm and Paving to serve Nortpark at Enclave","https://www.civcastusa.com/project/678e95efbf187255a98f9dae/summary","211-006-00 DST (J)/DEV (L)","N/A","N/A","N/A","Montgomery County, TX","Project scope shall include the excavation of approximately 5,145 CY of earthen material, installation of 1,960 LF of 6”-8” PVC and ductile iron waterline; 1,850 LF of 8” PVC gravity sanitary sewer; 1,030 LF of 24”- 42” RCP and 130 LF of 73”x45” RCA storm sewer; and 6,960 SY of 7” reinforced concrete pavement.","211-006-00 DST (J)/DEV (L)","N/A","N/A","N/A","N/A","211-006-00 DST (J)/DEV (L)","N/A","N/A"
"2/06/2025","State: TX","23-024-02A-DST","Proposed Water Distribution, Wastewater Collection and Storm Water Facilities to serve Indigio Section Two, Phase A","https://www.civcastusa.com/project/678a81d3c62fc40ad53ee045/summary","23-024-02A-DST","N/A","N/A","N/A","Fort Bend County, TX","Project consists of installation of water distribution, sanitary collection, and storm sewer system to serve Indigo Section Two, Phase A as outlined in the bid set construction plans.","23-024-02A-DST","N/A","N/A","N/A","N/A","23-024-02A-DST","N/A","N/A"
"2/05/2025","State: TX","201-095-10 DST (J)/ROAD(L)","HCMUD No. 525 Water, Wastewater, Storm and Paving to serve Sundance Cove, Section Ten","https://www.civcastusa.com/project/6787ed20cd859df41645d88c/summary","201-095-10 DST (J)/ROAD(L)","N/A","N/A","N/A","Harris County, TX","Project scope shall include the installation of approximately 3,370 LF of 8” PVC water line; 3,110 LF of 8” PVC gravity sanitary sewer; 2,690 LF of 24”-48” RCP storm sewer; 11,280 SY of 6”-7” reinforced concrete pavement.","201-095-10 DST (J)/ROAD(L)","N/A","N/A","N/A","N/A","201-095-10 DST (J)/ROAD(L)","N/A","N/A"
"2/04/2025","State: TX","2024-41-04-11","PAVING, WASTEWATER & DRAINAGE IMPROVEMENTS FOR FORT WORTH ST AND LIVE OAK DR","https://www.civcastusa.com/project/67570a9f01a95f8a24c110c1/summary","2024-41-04-11","N/A","N/A","N/A","Tarrant County, TX","2200 LF of 8” PVC sanitary sewer pipe with 12 manholes
6600 SY of asphalt
90 SY of 7” concrete pavement
1070 SY of 6” concrete driveway
20100 SF of 4” concrete sidewalk
1500 LF of RCP storm pipe with 8 storm drain inlets","2024-41-04-11","N/A","N/A","N/A","N/A","2024-41-04-11","N/A","N/A"
"1/31/2025","State: TX","12940-00","HCMUD No. 433 Wastewater Treatment Plant Phase 4 (0.75 MGD)","https://www.civcastusa.com/project/67771d349445e22deb4b7759/summary","12940-00","N/A","N/A","N/A","Harris County, TX","INVITATION TO BIDDERS

Sealed bids, in duplicate, addressed to Board of Directors, Harris County Municipal Utility District No. 433, will be received at the office of BGE, Inc., 10777 Westheimer, Suite 500; Houston, Texas, 77042 (Phone: 281-558-8700) OR electronically through www.civcastusa.com, until 10:00 AM Local Time, Friday, January 31, 2025, at which time all bids will be opened and publicly read at the office of BGE, Inc. and through Microsoft Teams. The Call-in number is (832) 680-2579 and the Conference ID is 737 352 403# for the furnishing of all material, equipment, labor and supervision necessary or incidental to “Construction of Wastewater Treatment Plant Phase 4 (0.75 MGD) for Harris County MUD No. 433, Harris County, Texas.”

 

Scope of Project:

 

Wastewater Treatment Plant Phase 4 consists of the expansion of the existing 0.60 MGD permanent reinforced concrete wastewater treatment plant to a 0.75 MGD plant including but not limited to providing labor, materials, equipment, and required incidentals to furnish, excavate, install, and backfill one (1) reinforced concrete entrance channel, two (2) aeration basins, one (1) exit channel, fine bubble diffusers, medium bubble diffusers, one (1) aeration basin blower, replacement of three (3) lift station impellers, one (1) clarifier basin, with all attendant aboveground/underground piping, valves, fittings, appurtenances, electrical and instrumentation, sanitary sewer lines, and site restoration; in accordance with plans and specifications. Complete in Place.

 

Bids received after the closing time will be returned unopened. 

 

A non-mandatory pre-bid conference will be held on Tuesday, January 21, 2025, at 10:00 AM Local Time, remotely through Microsoft Teams. To join via Microsoft Teams the Call-in number is (832) 680-2579 and the Conference ID is 297 000 213#.

 

Plans, specifications and bid documents are available at www.civcastusa.com, search: 12940-00.

 

A Bidder submitting Electronic Bids must submit its Bid and bid securities in compliance with Owner’s Order Adopting Section 49.2731 Electronic Bidding Rules and all Bids and bid securities must be submitted through www.civcastusa.com. By submitting a Bid, Bidder acknowledges and agrees that the Contract Documents may be accepted, executed or agreed to through the use of an Electronic Signature in accordance with Owner’s Electronic Signature Rules for Construction Contracts.

 

A cashier’s check or bid bond in the amount of 5% of the total bid amount must accompany each bid. The successful bidder will be required to provide performance, payment and maintenance bonds for the full amount of the contract. The Owner reserves the right to reject any or all bids.","12940-00","N/A","N/A","N/A","N/A","12940-00","N/A","N/A"
"1/30/2025","State: TX","JM 19296 / TWDB CWSRF NO. 73854","City of Grand Saline - Wastewater Treatment Plant Improvements Re-Bid","https://www.civcastusa.com/project/674e196b001e3aae38cf3d7c/summary","JM 19296 / TWDB CWSRF NO. 73854","N/A","N/A","N/A","Van Zandt County, TX","The project consists of replacing the aeration system, slide gate, and chlorine contact chamber weir plates, removing existing media and installing new media in existing sludge beds, refurbishing an existing raw sewage pump station, and installing a new air compressor with SCADA for a hydropneumatic tank and associated items at the Grand Saline Wastewater Treatment Plant.","JM 19296 / TWDB CWSRF NO. 73854","N/A","N/A","N/A","N/A","JM 19296 / TWDB CWSRF NO. 73854","N/A","N/A"
"1/30/2025","State: TX","RFB 6252","RFB 6252 Citywide Wastewater IDIQ Manhole Improvements","https://www.civcastusa.com/project/6750c831193bcdd9ee77b2cf/summary","RFB 6252","N/A","N/A","N/A","Nueces County, TX","The project is an Indefinite Delivery Indefinite Quantity (IDIQ) construction contract to complete wastewater collection system infrastructure construction at various locations throughout the City. The work will be issued by the City in multiple indefinite quantity individual work orders called “Delivery Orders” that provide specific scope and requirements in accordance with the plans, specifications, and contract documents. This is a “not to exceed’ contract and may only issue as many Delivery Orders as there is funding to cover. The scope of work includes rehabilitation, replacement, and/or point repair of wastewater collection system manholes and pipelines. Work includes dewatering through well pointing, control of wastewater flow through bypass pumping, cleaning and televised inspection of pipelines, as needed SWPPP/permit compliance (subsidiary), temporary traffic controls, and site restoration to pre-existing or better conditions.","RFB 6252","N/A","N/A","N/A","N/A","RFB 6252","N/A","N/A"
"1/30/2025","State: TX","4459.602","Interim Wastewater Treatment Plant to serve Phase III Expansion (0.2 MGD to 0.30 MGD) within Montgomery County M.U.D. No. 96","https://www.civcastusa.com/project/6778035da206b26ad1cb743e/summary","4459.602","N/A","N/A","N/A","Montgomery County, TX","Sealed Bids addressed to Montgomery County Municipal Utility District No. 96, Attention Robert Watson, President, Board of Directors, will be received at the office of R.G. Miller Engineers, Inc., 1080 Eldridge Parkway, Suite 600, Houston, Texas 77077, until 2:00 p.m. Local Time, Tuesday, January 23, 2025, and then publicly opened and read for “Interim Wastewater Treatment Plant to serve Phase III Expansion (0.2MGD to 0.30MGD) within Montgomery County Municipal Utility District No. 96 for Montgomery County, Texas.”. In addition to the opening of sealed Bids at the address above, you may attend the Bid Opening by telephone by dialing 1-469-998-7559, Phone Conference ID: 357 384 840#.  Note: Please allow time to check in with Security prior to the bid deadline.

 

Scope of Work of the Contract Documents includes the following: Construction and Expansion of a Wastewater Treatment Plant

Bids received after the closing time will be returned unopened.  A NON-MANDATORY pre-bid conference will be held remotely Tuesday, January 14, 2025, at 10:00 a.m. Local Time. To attend the NON-MANDATORY pre-bid conference dial 1-469-998-7559, Phone Conference ID: 647 025 395#.

Each Bid must be accompanied by a Bid bond or a certified or cashier’s check, acceptable to the Owner, in an amount not less than two percent (2%) of the total amount Bid, as a guarantee that the successful bidder will enter into the Contract Documents and execute the Bonds on the forms provided and provide the required insurance certificates and Bonds within seven (7) days after the date Contract Documents are received by the successful bidder.  If a certified or cashier’s check is provided, the successful bidder shall deliver, at the bid opening address, the original certified or cashier’s check within one (1) business day of receipt of the bid opening.

Copies of the bidding documents may be reviewed and obtained from www.CivcastUSA.com.  Bidders must register on this website to view and/or download specifications, plans, soils report, and environmental reports for this Project.  There is NO charge to view or download documents.

 

Bidding documents may be examined at R.G. Miller Engineers, Inc., 1080 Eldridge Parkway, Suite 600, Houston, Texas 77077 or may be obtained by prospective bidders or suppliers.

 

The Owner reserves the right to reject any or all Bids and to waive all defects and irregularities in bidding or bidding process except the time for submitting a Bid.  The successful bidder, if any, will be the responsible bidder, which in the Board’s judgment will be most advantageous to the District and result in the best and most economical completion of the Project.

 

The requirements of Subchapter J, Chapter 552, Government Code, may apply to this Bid and the bidder agrees that the Contract Documents can be terminated if the bidder knowingly or intentionally fails to comply with a requirement of that subchapter.","4459.602","N/A","N/A","N/A","N/A","4459.602","N/A","N/A"
"1/30/2025","State: TX","5531-A","Glen Rose TWDB EDAP Wastewater Treatment Plant Improvements","https://www.civcastusa.com/project/67619019b743b5e41c24aa3c/summary","5531-A","N/A","N/A","N/A","Somervell County, TX","Improvements and the installation of new components on existing facilities at the City of Glenrose Wastewater Treatment Plant.","5531-A","N/A","N/A","N/A","N/A","5531-A","N/A","N/A"
"1/30/2025","State: TX","21-009-04-DST/DEV","Proposed Water Distribution, Wastewater Collection, Paving and Storm Water Facilities to Serve Cedar Pointe Section Four","https://www.civcastusa.com/project/678161bcc62fc4b101a44f35/summary","21-009-04-DST/DEV","N/A","N/A","N/A","Harris County, TX","Project consists of installation of water distribution, sanitary collection, paving and storm sewer system to serve Cedar Pointe Section Four, which is a residential single-family development consisting of 36 lots and approximately 7.9 acres.","21-009-04-DST/DEV","N/A","N/A","N/A","N/A","21-009-04-DST/DEV","N/A","N/A"
