"bidTitle","bidNumber","category","status","closeDate","publicationDate","closingDate","bidOpeningInfo","contactPerson","descriptionFull","qualifications","relatedDocuments","projectLink"
"South Bypass 35 Waterline Replacement Project","B-24-07","Engineering","Status:","N/A","N/A","N/A","N/A","N/A","Description:



Construction Alternate “B”

Scope will include removal and replacement of approximately 1,600 feet of SDR pipe with a new 8” C-900 waterline along South Bypass 35 between Fairway Drive and Jephson Drive in the City of Alvin including all associated fittings, as well as the installation of a temporary above ground waterline to service the residents and businesses along this line.","N/A","[{""title"":""B-24-07 Construction Bid Invitation South Bypass 35 Waterline Replacement Project"",""url"":""https://www.alvin-tx.gov/DocumentCenter/View/1808""}]","https://www.alvin-tx.gov/bids.aspx?bidID=21"
"Victory Lane & Clifford Street Asphalt & Drainage Project","B-25-04","Engineering","Status:","N/A","N/A","N/A","N/A","N/A","Description:



Sealed bids, in triplicate, on original forms, signed by an officer of the Company will be received by the City of Alvin, Texas for furnishing all plans, labor, material, and equipment, and for performing all work required for construction of:

CITY OF ALVIN 2025 VICTORY LANE & CLIFFORD STREET ASPHALT & DRAINAGE PROJECT","N/A","[{""title"":""Victory Ln and Clifford St Asphalt and Drainage Bid Ad Document (PDF)"",""url"":""https://www.alvin-tx.gov/DocumentCenter/View/2165""}]","https://www.alvin-tx.gov/bids.aspx?bidID=23"
"Victory Lane & Clifford Street Asphalt & Drainage Project REBID","B-25-08","Engineering","Status:","N/A","N/A","N/A","N/A","N/A","Description:



Sealed bids, in triplicate, on the original forms, signed by an officer of the Company will be received by the City of Alvin, Texas for furnishing all plans, labor, material, and equipment, and for performing all work required for construction of:

CITY OF ALVIN 2025 VICTORY LANE & CLIFFORD STREET ASPHALT & DRAINAGE PROJECT

Bid No. B-25-08","N/A","[{""title"":""B-25-08 VICTORY LANE & CLIFFORD STREET ASPHALT AND DRAINAGE PROJECT Rebid Ad"",""url"":""https://www.alvin-tx.gov/DocumentCenter/View/2257""}]","https://www.alvin-tx.gov/bids.aspx?bidID=29"
"Waterline Improvements Phase 4","B-24-03","Engineering","Status:","N/A","N/A","N/A","N/A","N/A","Description:



Sealed bids will be received by the City of Alvin, Texas, for furnishing all plans, labor, materials, equipment, and for performing all work required for construction of Water Improvements Phase 4 including: New 12-inch, 10-inch, 8-inch and 6-inch water  lines  to  connect  and  replace existing small diameter water  lines in the  area  bounded  by  Blum Street, Johnson  Street,  South  Street,  and Callaway Drive.  The replacement of the existing water lines will increase available fire flow capacity, improve water quality, and   increase   water system connectivity between the City's water plants.","N/A","[{""title"":""B-24-03 Waterline Improvements Phase 4 (PDF)"",""url"":""https://www.alvin-tx.gov/DocumentCenter/View/1807""}]","https://www.alvin-tx.gov/bids.aspx?bidID=20"
"Insurance Broker/Consultant for Employee Benefits","RFQ 25-01","Human Resources","Status:","N/A","N/A","N/A","N/A","N/A","Description:



The City of Alvin invites the submittal of responses to a Request for Qualifications (RFQ) from qualified insurance brokers or consultants to assist with the evaluation, marketing, and administration of the City's employee benefits programs, including but not limited to health, dental, vision, and life insurance. The purpose of this RFQ is to select the most qualified professional firm to provide these services.","N/A","[{""title"":""RFQ 25-01 Insurance Consultant Services Employee Benefits (PDF)"",""url"":""https://www.alvin-tx.gov/DocumentCenter/View/2274""},{""title"":""RFQ 25-01; Insurance Consultant Services Employee Benefits; Questions_ updated 033125"",""url"":""https://www.alvin-tx.gov/DocumentCenter/View/2284""},{""title"":""RFQ 25-01 Insurance Consultant Services Employee Benefits Updated Timeline_ updated 050125"",""url"":""https://www.alvin-tx.gov/DocumentCenter/View/2388""}]","https://www.alvin-tx.gov/bids.aspx?bidID=31"
"City-Wide Fiber Network Ring","RFP 24-05","Information Technology","Status:","N/A","N/A","N/A","N/A","N/A","Description:



The City of Alvin is accepting sealed competitive proposals from qualified professional companies to design, install, and maintain a fiber optic network connecting 12 sites in a ring topology. Pricing shall include all labor, parts, and materials associated with maintaining the network.","N/A","[{""title"":""RFP 24-05 Alvin City Wide Fiber Network Ring Specifications (PDF)"",""url"":""https://www.alvin-tx.gov/DocumentCenter/View/1742""},{""title"":""RFP 24-05 - City-Wide Fiber Network Ring_Addendum_1 080824 530pm"",""url"":""https://www.alvin-tx.gov/DocumentCenter/View/1778""},{""title"":""RFP 24-05 Network Fiber Questions"",""url"":""https://www.alvin-tx.gov/DocumentCenter/View/1785""},{""title"":""RFP 24-05 Network Fiber Questions_updated 092724"",""url"":""https://www.alvin-tx.gov/DocumentCenter/View/1803""}]","https://www.alvin-tx.gov/bids.aspx?bidID=17"
"Aerial Fireworks Display","RFP 25-02","Parks and Recreation","Status:","N/A","N/A","N/A","N/A","N/A","Description:



The City of Alvin is accepting sealed competitive proposals from licensed pyrotechnic companies to provide one twenty-minute 1.3G Aerial Fireworks Display utilizing a range of shell sizes from three to ten inches, having a variety of colors and effects, with a finale, all choreographed to a custom soundtrack.","N/A","[{""title"":""Alvin Aerial Fireworks Display Bid Specifications Document (PDF)"",""url"":""https://www.alvin-tx.gov/DocumentCenter/View/2164""},{""title"":""RFP 25-02 Fireworks Display Bid Tabulation"",""url"":""https://www.alvin-tx.gov/DocumentCenter/View/2196""}]","https://www.alvin-tx.gov/bids.aspx?bidID=22"
"Christmas Decoration Display","RFP 24-03","Parks and Recreation","Status:","N/A","N/A","N/A","N/A","N/A","Description:



The City of Alvin is accepting sealed competitive proposals from qualified professional lighting/landscape companies to provide setup, take down, maintenance and storage of leased commercial grade Christmas décor at the following locations:

•    Train Depot 

Mounted along existing post and pole fence, install approximately 518 linear feet of pre-lit garland. Color should be incandescent or warm white LED.

•    National Oak Park

Mounted along top of existing wrought iron fence, install approximately 480 linear feet of strand lights.  Size shall be C9 and color shall be incandescent or warm white LED.
Twenty-four-foot-tall, pre-lit Christmas tree with ornaments and décor to match theme including a tree topper red/gold in color.

Questions & Answers Updated - Released 5/28/24","N/A","[{""title"":""RFP 24-03 Alvin Christmas Decoration Display Specifications (PDF)"",""url"":""https://www.alvin-tx.gov/DocumentCenter/View/1648""},{""title"":""RFP 24-03 Christmas Decor Questions"",""url"":""https://www.alvin-tx.gov/DocumentCenter/View/1661""}]","https://www.alvin-tx.gov/bids.aspx?bidID=13"
"Generator Maintenance","RFP 24-04","Parks and Recreation","Status:","N/A","N/A","N/A","N/A","N/A","Description:



The prospective contractor shall; utilize technicians familiar with the type of equipment included in the “Equipment Covered,” have a broader knowledge related to the maintenance procedures most effective and recommended by the manufacturer(s) and comply with environmental regulations regarding maintenance and repair of generators.

A standardized written report summarizing equipment performance and work performed at each maintenance period shall be completed and signed by the technician assigned to perform the work.  In addition, the report shall include any recommendations to reduce overall operating costs and/or improve equipment performance.","N/A","[{""title"":""RFP Generator Maintenance Proposal Specifications"",""url"":""https://www.alvin-tx.gov/DocumentCenter/View/1664""},{""title"":""RFP 24-04 Generator Maintenance Questions (PDF)"",""url"":""https://www.alvin-tx.gov/DocumentCenter/View/1662""}]","https://www.alvin-tx.gov/bids.aspx?bidID=14"
"Landscape Maintenance","RFP 23-04","Parks and Recreation","Status:","N/A","N/A","N/A","N/A","N/A","Description:



The City of Alvin is accepting sealed competitive proposals from qualified professional companies to provide landscape maintenance for City owned or maintained Parks, Facility Grounds and Rights of Way. Interested firms are invited to submit their proposals for consideration. \

The RFP Scope of Services packet may be downloaded from the City’s website at www.alvin-tx.gov.  All proposals shall be submitted on the original forms and clearly marked in an envelope with proposal number and title and addressed to: City of Alvin, Office of the City Secretary, 216 West Sealy Street, Alvin, Texas 77511.  

Proposals will be received at the Office of the City Secretary, 216 West Sealy Street, Alvin, TX 77511 until 2:00 p.m., Tuesday, July 11th, 2023. Proposals will be opened Tuesday, July 11th, 2023 at 2:15 p.m. in the Council Chambers at Alvin City Hall, 216 West Sealy Street.  

The City of Alvin reserves the right to reject any and all proposals, to waive irregularities, and to accept the bid deemed to provide the best value for the City. 

All inquiries about this proposal or specifications must be made to Daniel Kelinske, Director Parks and Recreation, in writing at dlkelinske@cityofalvin.com.

See RFP Scope of Services Download provided below.","N/A","[{""title"":""RFP 23-04 Landscape Maintenance Bid Specifications (PDF)"",""url"":""https://www.alvin-tx.gov/DocumentCenter/View/1086""}]","https://www.alvin-tx.gov/bids.aspx?bidID=5"
"Manicured Mowing - City Facilities","B-24-05","Parks and Recreation","Status:","N/A","N/A","N/A","N/A","N/A","Description:



The City of Alvin seeks competitive bids on Manicured Mowing Services of City Facilities for the City of Alvin. Contractor shall mow, edge, and trim the sites listed in the bid proposal.","N/A","[{""title"":""Manicured Mowing City Facilities Bid Specifications (PDF)"",""url"":""https://www.alvin-tx.gov/DocumentCenter/View/1768""},{""title"":""B-24-05 Manicured Mowing Questions updated 08-21-24"",""url"":""https://www.alvin-tx.gov/DocumentCenter/View/1802""},{""title"":""B-24-05 Bid Tabulation"",""url"":""https://www.alvin-tx.gov/DocumentCenter/View/1840""}]","https://www.alvin-tx.gov/bids.aspx?bidID=18"
"Manicured Mowing Public Parks ROW & Trust Land","B-24-06","Parks and Recreation","Status:","N/A","N/A","N/A","N/A","N/A","Description:



The City of Alvin seeks competitive bids on Manicured Mowing Services for the City of Alvin. Contractor shall mow, edge, and trim the sites listed in the bid proposal.","N/A","[{""title"":""Manicured Mowing Public Parks ROW Trust Land Bid Specifications (PDF)"",""url"":""https://www.alvin-tx.gov/DocumentCenter/View/1769""},{""title"":""B-24-06 Manicured Mowing Bid Tabulation"",""url"":""https://www.alvin-tx.gov/DocumentCenter/View/1839""}]","https://www.alvin-tx.gov/bids.aspx?bidID=19"
"Bio-Solids Disposal","B-23-08","Public Services","Status:","N/A","N/A","N/A","N/A","N/A","Description:



The City of Alvin is accepting sealed competitive proposals from qualified professional companies to provide Bio-Solid Disposal services. Interested firms are invited to submit their proposals for consideration.

The Bid Specifications packet may be downloaded below. All proposals shall be submitted on the original forms and clearly marked in an envelope with proposal number and title, addressed to City of Alvin, Office of the City Secretary, 216 West Sealy Street, Alvin, Texas 77511.

Proposals will be received at the Office of the City Secretary, 216 West Sealy Street, Alvin, Texas 77511 until 2:00 p.m., Tuesday October 17th, 2023. Proposals will be opened Tuesday October 17th, 2023, at 2:15 p.m. in the Council Chambers at City Hall, 216 West Sealy Street.

The City of Alvin reserves the right to reject any and all proposals, to waive irregularities, and to accept the bid deemed to provide the best value for the City.

All inquiries about this proposal or specifications should be directed to Juan ""Johnny"" Arredondo, Utility Superintendent, at 281-388-4325 or jarredondo@cityofalvin.com.

See Bid Specifications Download provided.","N/A","[{""title"":""B-23-08 Bid packet"",""url"":""https://www.alvin-tx.gov/DocumentCenter/View/1254""}]","https://www.alvin-tx.gov/bids.aspx?bidID=7"
"Bypass 35 Mowing Services","B-25-07","Public Services","Status:","N/A","N/A","N/A","N/A","N/A","Description:



The City of Alvin is accepting sealed competitive bids for an annual agreement for:

Bypass 35 Mowing Services




Service is to include the mowing, edging, and trimming the Bypass 35 medians, east right of ways (ROW), and the west right of ways (ROW).","N/A","[{""title"":""B-25-07 Bypass 35 Mowing Services Bid Specifications (PDF)"",""url"":""https://www.alvin-tx.gov/DocumentCenter/View/2271""},{""title"":""B-25-07 Bypass 35 Mowing Services Bid Tabulation"",""url"":""https://www.alvin-tx.gov/DocumentCenter/View/2366""}]","https://www.alvin-tx.gov/bids.aspx?bidID=30"
"Chlorine","B-23-07","Public Services","Status:","N/A","N/A","N/A","N/A","N/A","Description:



Notice is hereby given that sealed bids addressed to the Honorable Mayor and City Council of the City of Alvin, Texas, will be received in the office of the City Secretary, 216 West Sealy Street, Alvin, Texas 77511 no later than 2:00 p.m., Tuesday, July 11, 2023.

Bids will then be publicly opened and read aloud at 2:15 p.m., July 11, 2023, in the City Council Chambers, Alvin City Hall, 216 West Sealy, 2nd floor, Alvin, Texas 77511.

Specifications and proposal documents may be obtained in the office of the City Secretary, 216 West Sealy Street, Alvin, Texas, 77511, or may be downloaded from the City’s website at www.alvin-tx.gov (see under Related Documents below).

For proposal information and clarifications contact Brandon Moody, Director of Public Services, bmoody@psf.cityofalvin.com or 281-388-4325.

The City of Alvin reserves the right to reject any and all bids, or parts of bids to waive any and all technicalities, and to accept any bids, or parts of bids, which it deems advantageous to the City.","N/A","[{""title"":""B-23-07 Chlorine Bid Packet"",""url"":""https://www.alvin-tx.gov/DocumentCenter/View/1087""}]","https://www.alvin-tx.gov/bids.aspx?bidID=6"
"Polyphosphate","B-25-03","Public Services","Status:","N/A","N/A","N/A","N/A","N/A","Description:



The City of Alvin is accepting sealed competitive bids for an annual agreement for:

 Water Treatment Chemicals for Liquid Polyphosphate and Orthophosphate.","N/A","[{""title"":""B-25-03 Polyphosphate Bid Specifications (PDF)"",""url"":""https://www.alvin-tx.gov/DocumentCenter/View/2191""},{""title"":""B-25-03 Polyphosphate Bid Questions"",""url"":""https://www.alvin-tx.gov/DocumentCenter/View/2197""},{""title"":""B-25-03 Polyphosphate Bid Questions_updated 21025"",""url"":""https://www.alvin-tx.gov/DocumentCenter/View/2212""},{""title"":""B-25-03 Polyphosphate Bid Questions_updated 021225"",""url"":""https://www.alvin-tx.gov/DocumentCenter/View/2229""},{""title"":""B-25-03 Polyphosphate Bid Tab"",""url"":""https://www.alvin-tx.gov/DocumentCenter/View/2232""}]","https://www.alvin-tx.gov/bids.aspx?bidID=27"
"Sodium Bisulfite","B-25-01","Public Services","Status:","N/A","N/A","N/A","N/A","N/A","Description:



The City of Alvin is accepting sealed competitive bids for an annual agreement for:

 Wastewater Treatment Chemical for Liquid Sodium Bisulfite.","N/A","[{""title"":""B-25-01 Sodium Bisulfite Bid Specifications (PDF)"",""url"":""https://www.alvin-tx.gov/DocumentCenter/View/2187""},{""title"":""B-25-01 Sodium Bisulfite Questions"",""url"":""https://www.alvin-tx.gov/DocumentCenter/View/2227""},{""title"":""B-25-01 Sodium Bisulfite Bid Tab"",""url"":""https://www.alvin-tx.gov/DocumentCenter/View/2230""}]","https://www.alvin-tx.gov/bids.aspx?bidID=25"
"Sodium Hypochlorite","B-25-02","Public Services","Status:","N/A","N/A","N/A","N/A","N/A","Description:



The City of Alvin is accepting sealed competitive bids for an annual agreement for:

 Wastewater Treatment Chemical for Liquid Sodium Hypochlorite","N/A","[{""title"":""B-25-02 Sodium Hypochlorite Bid Specifications (PDF)"",""url"":""https://www.alvin-tx.gov/DocumentCenter/View/2190""},{""title"":""B-25-02 Sodium Hypochlorite Bid Questions"",""url"":""https://www.alvin-tx.gov/DocumentCenter/View/2228""},{""title"":""B-25-02 Sodium Hypochlorite Bid Tab"",""url"":""https://www.alvin-tx.gov/DocumentCenter/View/2231""}]","https://www.alvin-tx.gov/bids.aspx?bidID=26"
"Uniform Services","B-24-04","Public Services","Status:","N/A","N/A","N/A","N/A","N/A","Description:



The City of Alvin is accepting sealed proposals from qualified professional companies to provide Uniform Services for City employees. Interested firms are invited to submit their qualifications and pricing for consideration.","N/A","[{""title"":""B-24-04 Uniform Services Bid Packet2dr"",""url"":""https://www.alvin-tx.gov/DocumentCenter/View/1717""}]","https://www.alvin-tx.gov/bids.aspx?bidID=16"
"Utility Bill Printing & Mailing","RFP 24-01","Utility Billing","Status:","N/A","N/A","N/A","N/A","N/A","Description:



The City of Alvin is accepting sealed proposals from qualified professional companies to provide Utility Bill Printing and Mailing Services for City utility billing needs. Interested firms are invited to submit their qualifications and pricing for consideration. A copy of the Request for Proposal will be made available on the City’s website, www.alvin-tx.gov. 

Proposals must be received in the Office of the City Secretary in a clearly marked envelope that states “RFP 24-01 -Utility Bill Printing and Mailing Services” no later than Tuesday, February 27, 2024, at 2:00 p.m. local time with the information listed below. Proposals received after the deadline will not be opened and will be considered void and unacceptable.

Proposals will be publicly opened at 2:15 p.m. in the City Secretary’s Office at the address listed above. Only the names of the vendors submitting an RFP will be read aloud.","N/A","[{""title"":""RFP 24-01 Utility Bill Print Mail Bid Packet"",""url"":""https://www.alvin-tx.gov/DocumentCenter/View/1435""},{""title"":""Addendum No 1"",""url"":""https://www.alvin-tx.gov/DocumentCenter/View/1449""},{""title"":""RFP 24-01 Utility Bill Print Mail Bid Tab"",""url"":""https://www.alvin-tx.gov/DocumentCenter/View/1484""}]","https://www.alvin-tx.gov/bids.aspx?bidID=10"
